epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,6043.81,1.04032,0.63676,1.27975,0.93842,0.90159,0.95156,0.69276,0.99069,0.52056,1.25213,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117
49,6168.48,1.03786,0.63221,1.27302,0.94424,0.91215,0.94996,0.70088,0.96466,0.50205,1.22967,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
50,6292.42,1.03981,0.63302,1.27398,0.92375,0.91847,0.94868,0.71212,0.914,0.49896,1.20403,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473
51,6419.77,1.02778,0.61782,1.26713,0.92641,0.91878,0.95236,0.70374,0.94445,0.50333,1.22397,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
52,6545.78,1.02593,0.62021,1.26468,0.92669,0.91759,0.95192,0.69141,0.98599,0.50222,1.25072,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477
53,6670.24,1.02089,0.62585,1.26309,0.93257,0.92604,0.9568,0.71471,0.92344,0.48823,1.21283,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
54,6796.88,1.02047,0.62487,1.26159,0.93213,0.91608,0.95266,0.7078,0.94396,0.48705,1.22621,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141
55,6921.85,1.00627,0.61761,1.25353,0.92206,0.91878,0.9541,0.71183,0.93628,0.48982,1.22442,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
56,7045.97,1.00829,0.6188,1.25616,0.91413,0.92639,0.95387,0.71071,0.93004,0.48903,1.22447,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
57,7170.64,0.99527,0.60258,1.24209,0.92853,0.91317,0.95159,0.706,0.94242,0.48918,1.22315,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
58,7294.93,0.99753,0.60005,1.24364,0.93629,0.92746,0.95183,0.70482,0.9503,0.49795,1.23215,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495
59,7419.84,0.98778,0.59167,1.23522,0.93043,0.9153,0.95378,0.71322,0.92085,0.48621,1.20806,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
60,7545.06,0.9816,0.58948,1.23082,0.92803,0.92253,0.9509,0.71001,0.92929,0.48236,1.20557,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208
61,7669.25,0.97672,0.58335,1.22863,0.93321,0.90871,0.95164,0.707,0.94383,0.49776,1.22599,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
62,7794.26,0.97328,0.58849,1.23139,0.91756,0.91751,0.9503,0.71161,0.92836,0.48809,1.21754,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628
63,7919.29,0.96289,0.58174,1.22375,0.92962,0.92282,0.95712,0.7122,0.92067,0.48515,1.2215,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
64,8044.59,0.96058,0.5794,1.2194,0.92292,0.90583,0.95279,0.72154,0.89015,0.47649,1.19632,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766
65,8172.43,0.97012,0.57638,1.22568,0.92468,0.92703,0.95432,0.70989,0.93415,0.46821,1.226,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
66,8298.05,0.95872,0.5771,1.21762,0.90324,0.94015,0.95456,0.70985,0.93391,0.47382,1.22094,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
67,8423.16,0.94605,0.56585,1.21756,0.93357,0.92804,0.95751,0.72241,0.89333,0.45895,1.20908,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
68,8550.62,0.94738,0.57321,1.21377,0.94001,0.90939,0.95181,0.71233,0.93784,0.46783,1.22849,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252
69,8676.3,0.93769,0.56001,1.20468,0.90749,0.93143,0.95096,0.71412,0.92684,0.4771,1.21934,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
